======================================================================
IPTV 酒店源流量测试报告 (2026-03-28 07:21:32)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
144.52.161.141:9901       | 山东生活                 | 0.25   Mbps | 100%
153.0.171.163:9901        | CCTV3                | 1.29   Mbps | 0%
153.0.171.163:9901        | IPTV 8               | 1.03   Mbps | 85%
171.14.89.119:9901        | 深圳卫视                 | 1.33   Mbps | 100%
171.14.89.119:9901        | CCTV11-戏曲            | 0.36   Mbps | 100%
171.14.89.119:9901        | 科教频道                 | 0.12   Mbps | 100%
180.173.154.233:7777      | CCTV17               | 0.68   Mbps | 100%
180.173.154.233:7777      | 东方影视                 | 0.91   Mbps | 76%
180.173.154.233:7777      | 江西卫视                 | 1.14   Mbps | 100%
182.207.218.109:999       | CCTV10-科教            | 2.13   Mbps | 100%
182.207.218.109:999       | CCTV7-军农             | 1.3    Mbps | 100%
182.207.218.109:999       | 辽宁教育青少               | 0.88   Mbps | 100%
182.91.124.224:8801       | 河北卫视                 | 0.86   Mbps | 89%
182.91.124.224:8801       | CCTV-5体育             | 0.12   Mbps | 100%
182.91.124.224:8801       | 湖南卫视                 | 0.31   Mbps | 100%
183.223.157.33:9901       | CCTV14-少儿            | 2.71   Mbps | 0%
183.223.157.33:9901       | 江苏卫视                 | 2.8    Mbps | 4%
183.223.157.33:9901       | CCTV15-音乐            | 3.08   Mbps | 0%
183.239.226.235:9901      | CCTV2-财经             | 0.08   Mbps | 100%
218.13.170.98:9901        | CCTV15音乐             | 1.13   Mbps | 100%
218.13.170.98:9901        | 辽宁卫视                 | 0.51   Mbps | 100%
218.13.170.98:9901        | CCTV4中文国际            | 0.39   Mbps | 100%
219.137.202.224:9901      | 广东少儿                 | 3.02   Mbps | 56%
219.137.202.224:9901      | 广东体育                 | 1.29   Mbps | 100%
219.137.203.226:9901      | CCTV3-综艺             | 1.35   Mbps | 0%
219.137.203.226:9901      | CCTV14-少儿            | 1.29   Mbps | 41%
219.137.203.226:9901      | CCTV13-新闻            | 1.23   Mbps | 99%
218.104.239.114:9901      | CCTV16               | 2.24   Mbps | 100%
218.104.239.114:9901      | 凤凰中文高清               | 1.25   Mbps | 100%
218.104.239.114:9901      | 黑龙江卫视                | 1.47   Mbps | 100%
219.144.157.62:9901       | CCTV13               | 0.05   Mbps | 100%
219.140.4.193:7777        | CCTV-7               | 0.96   Mbps | 0%
219.140.4.193:7777        | 深圳卫视                 | 0.06   Mbps | 100%
219.145.93.74:10000       | CCTV15-音乐            | 0.18   Mbps | 100%
219.145.93.74:10000       | CCTV1-综合             | 0.66   Mbps | 100%
219.146.95.58:59902       | 胶州新闻                 | 0.12   Mbps | 100%
219.146.95.58:59902       | 厦门卫视                 | 0.23   Mbps | 100%
